"id","shapeid","municipality_code","name","wikidata","class","sdate","edate"
10361,1928,1928,"Torsken",48581,"m1928",0,9
10362,1927,1927,"Tranøy",48597,"m1927",0,9
10363,1902,1902,"Tromsø",26087,"m1902",0,9
10364,1601,1601,"Trondheim",25804,"m1601",0,9
10365,428,428,"Trysil",48529,"m428",0,9
10366,1835,1835,"Træna",48620,"m1835",0,9
10367,122,122,"Trøgstad",48678,"m122",0,9
10368,914,914,"Tvedestrand",90597,"m914",0,9
10369,1665,1665,"Tydal",494053,"m1665",0,9
10370,437,437,"Tynset",488779,"m437",0,9
10371,1850,1850,"Tysfjord",493851,"m1850",0,9
10372,1223,1223,"Tysnes",48316,"m1223",0,9
10373,1146,1146,"Tysvær",493977,"m1146",0,9
10374,704,704,"Tønsberg",107392,"m704",0,9
10375,235,235,"Ullensaker",57917,"m235",0,9
10376,1231,1231,"Ullensvang",484077,"m1231",0,9
10377,1516,1516,"Ulstein",493961,"m1516",0,9
10378,1233,1233,"Ulvik",487711,"m1233",0,9
10379,1151,1151,"Utsira",499485,"m1151",0,9
10380,2003,2003,"Vadsø",104379,"m2003",0,9
10381,1251,1251,"Vaksdal",48928,"m1251",0,9
10382,940,940,"Valle",90598,"m940",0,9
10383,545,545,"Vang",503637,"m545",0,9
10384,1511,1511,"Vanylven",493992,"m1511",0,9
10385,2002,2002,"Vardø",108983,"m2002",0,9
10386,1824,1824,"Vefsn",503654,"m1824",0,9
10387,1815,1815,"Vega",488375,"m1815",0,9
10388,912,912,"Vegårshei",90600,"m912",0,9
10389,1014,1014,"Vennesla",500227,"m1014",0,9
10390,1721,1721,"Verdal",503660,"m1721",0,9
10391,1724,1724,"Verran",499779,"m1724",0,9
10392,211,211,"Vestby",57918,"m211",0,9
10393,1535,1535,"Vestnes",488060,"m1535",0,9
10394,543,543,"Vestre Slidre",488439,"m543",0,9
10395,529,529,"Vestre Toten",48717,"m529",0,9
10396,1860,1860,"Vestvågøy",507201,"m1860",0,9
10397,1816,1816,"Vevelstad",494068,"m1816",0,9
10398,1417,1417,"Vik",303521,"m1417",0,9
10399,1750,1750,"Vikna",48833,"m1750",0,9
10400,1160,1160,"Vindafjord",502197,"m1160",0,9
10401,834,834,"Vinje",2245,"m834",0,9
10402,1519,1519,"Volda",488445,"m1519",0,9
10403,1235,1235,"Voss",109031,"m1235",0,9
10404,1865,1865,"Værøy",48629,"m1865",0,9
10405,1439,1439,"Vågan",490246,"m1439",0,9
10406,515,515,"Vågsøy",499719,"m515",0,9
10407,137,137,"Vågå",113438,"m137",0,9
10408,426,426,"Våler",347443,"m426",0,9
10409,1857,1857,"Våler",347443,"m1857",0,9
10410,1630,1630,"Øksnes",308134,"m1630",0,9
10411,619,619,"Ørland",308245,"m619",0,9
